iter	Accuracy	Logloss
0	0.7615349475	0.6845582013
1	0.7662174509	0.6777082216
2	0.7719278209	0.6698267981
3	0.7740977615	0.663006385
4	0.7748972133	0.6562960702
5	0.7743261763	0.6499910719
6	0.7783234354	0.64291509
7	0.7785518502	0.6366854581
8	0.779922339	0.6301770164
9	0.7800365464	0.6248642956
10	0.7802649612	0.6190318778
11	0.7826633166	0.6139997356
12	0.7802649612	0.609164592
13	0.7814070352	0.6044137201
14	0.7790086798	0.6001756191
15	0.7808359982	0.5958485221
16	0.7783234354	0.591144517
17	0.7796939242	0.5867659183
18	0.7784376428	0.5830052765
19	0.7786660576	0.5790621149
20	0.7800365464	0.5751145996
21	0.7794655094	0.5713407494
22	0.7814070352	0.5680175134
23	0.7808359982	0.5642366816
24	0.7806075834	0.5613017085
25	0.7811786204	0.5583959959
26	0.7809502056	0.5552617096
27	0.781064413	0.5519364578
28	0.7819780722	0.5485993138
29	0.78163545	0.5458555456
30	0.7815212426	0.543316533
31	0.7809502056	0.5400600192
32	0.7819780722	0.537234207
33	0.7823206944	0.5347359446
34	0.7823206944	0.5321693628
35	0.7815212426	0.5303721449
36	0.7795797168	0.527714103
37	0.780493376	0.52534359
38	0.7806075834	0.5231971119
39	0.7826633166	0.5211897368
40	0.7830059388	0.5192622829
41	0.7815212426	0.5166800235
42	0.7815212426	0.5144912388
43	0.7808359982	0.5128963806
44	0.7819780722	0.5112024039
45	0.782206487	0.5092666873
46	0.78163545	0.5078453706
47	0.7818638648	0.5061967442
48	0.7819780722	0.5046724049
49	0.7826633166	0.5031782349
50	0.782206487	0.5016692527
51	0.7824349018	0.500500915
52	0.7828917314	0.4990765819
53	0.782777524	0.4979758307
54	0.7835769758	0.4965857453
55	0.7830059388	0.4950347316
56	0.7828917314	0.4938182063
57	0.7832343536	0.4925029983
58	0.783348561	0.4915206457
59	0.7831201462	0.4901933101
60	0.7830059388	0.4887693193
61	0.782777524	0.4877310088
62	0.7831201462	0.4867525099
63	0.7836911832	0.4851864349
64	0.783919598	0.4839857685
65	0.7835769758	0.482688532
66	0.7847190498	0.481523588
67	0.7852900868	0.4804319569
68	0.7846048424	0.4793607327
69	0.7854042942	0.478232562
70	0.7848332572	0.4772848151
71	0.784490635	0.4765096205
72	0.7851758794	0.4755746096
73	0.7858611238	0.4747704469
74	0.7858611238	0.4739552784
75	0.7864321608	0.4731342171
76	0.78734582	0.4723571253
77	0.78734582	0.4714532887
78	0.7876884422	0.4705202582
79	0.7875742348	0.4695937232
80	0.78734582	0.469035543
81	0.7875742348	0.4683481823
82	0.7876884422	0.4676256807
83	0.7882594792	0.466840519
84	0.7882594792	0.4662004946
85	0.7878026496	0.4656506907
86	0.7882594792	0.464651721
87	0.7883736866	0.4640755257
88	0.7889447236	0.4631917281
89	0.7883736866	0.4624345471
90	0.7886021014	0.4616478863
91	0.7888305162	0.4608210209
92	0.789058931	0.4600723405
93	0.789629968	0.459531218
94	0.7897441754	0.4587367149
95	0.7900867976	0.4582527112
96	0.7906578346	0.4575313048
97	0.790772042	0.4566727382
98	0.7905436272	0.4561397541
99	0.790772042	0.4554905829
100	0.7904294198	0.4549558109
101	0.790772042	0.4541552993
102	0.7912288716	0.4536330406
103	0.791343079	0.4530803839
104	0.7921425308	0.4524175875
105	0.7921425308	0.4519391872
106	0.7920283234	0.4514661075
107	0.7920283234	0.4509217793
108	0.792485153	0.4503720795
109	0.7922567382	0.4497990763
110	0.7927135678	0.449093086
111	0.7928277752	0.4485561529
112	0.79305619	0.447974048
113	0.7929419826	0.4475169154
114	0.7933988122	0.4470475225
115	0.7935130196	0.4464688729
116	0.7935130196	0.4459280778
117	0.7938556418	0.4452819697
118	0.7943124714	0.4447298277
119	0.7939698492	0.4443093825
120	0.794198264	0.4439689801
121	0.7938556418	0.4434683476
122	0.7943124714	0.4431040545
